STATION,DATE,TSNW,EMNT
GHCND:USW00013994,19411101,134,-94
GHCND:USW00013994,19411201,69,-89
GHCND:USW00013994,19420101,-9999,-206
GHCND:USW00013994,19420201,-9999,-128
GHCND:USW00013994,19420301,89,-33
GHCND:USW00013994,19421101,0,-56
GHCND:USW00013994,19421201,223,-144
GHCND:USW00013994,19430101,52,-206
GHCND:USW00013994,19430201,25,-167
GHCND:USW00013994,19430301,111,-172
GHCND:USW00013994,19431101,0,-72
GHCND:USW00013994,19431201,155,-200
GHCND:USW00013994,19440101,15,-117
GHCND:USW00013994,19440201,137,-189
GHCND:USW00013994,19440301,56,-78
GHCND:USW00013994,19441101,0,-89
GHCND:USW00013994,19441201,171,-156
GHCND:USW00013994,19450101,82,-189
GHCND:USW00013994,19450201,239,-144
GHCND:USW00013994,19450301,0,-39
GHCND:USW00013994,19450701,0,128
GHCND:USW00013994,19450801,0,128
GHCND:USW00013994,19450901,0,83
GHCND:USW00013994,19451001,0,11
GHCND:USW00013994,19451101,0,-67
GHCND:USW00013994,19451201,260,-167
GHCND:USW00013994,19460101,160,-156
GHCND:USW00013994,19460201,127,-122
GHCND:USW00013994,19460301,0,-39
GHCND:USW00013994,19460401,0,6
GHCND:USW00013994,19460501,0,44
GHCND:USW00013994,19460601,0,94
GHCND:USW00013994,19460701,0,150
GHCND:USW00013994,19460801,0,106
GHCND:USW00013994,19460901,0,67
GHCND:USW00013994,19461001,0,17
GHCND:USW00013994,19461101,0,-28
GHCND:USW00013994,19461201,0,-117
GHCND:USW00013994,19470101,74,-178
GHCND:USW00013994,19470201,114,-150
GHCND:USW00013994,19470301,375,-122
GHCND:USW00013994,19470401,0,17
GHCND:USW00013994,19470501,0,33
GHCND:USW00013994,19470601,0,100
GHCND:USW00013994,19470701,0,111
GHCND:USW00013994,19470801,0,167
GHCND:USW00013994,19470901,0,50
GHCND:USW00013994,19471001,0,72
GHCND:USW00013994,19471101,5,-89
GHCND:USW00013994,19471201,25,-78
GHCND:USW00013994,19480101,188,-211
GHCND:USW00013994,19480201,190,-156
GHCND:USW00013994,19480301,122,-172
GHCND:USW00013994,19480401,0,33
GHCND:USW00013994,19480501,0,72
GHCND:USW00013994,19480601,0,122
GHCND:USW00013994,19480701,0,144
GHCND:USW00013994,19480801,0,128
GHCND:USW00013994,19480901,0,100
GHCND:USW00013994,19481001,0,-22
GHCND:USW00013994,19481101,0,-50
GHCND:USW00013994,19481201,158,-178
