year,January,February,March,April,May,November,December
1946,160,127,0,0,0,0,0
1947,74,114,375,0,0,5,25
1948,188,190,122,0,0,0,158
1949,10,30,332,0,0,3,0
1950,36,8,38,0,0,20,183
1951,150,51,181,0,0,286,23
1952,43,47,70,0,0,36,64
1953,41,0,134,0,0,0,0
1954,13,0,25,0,0,0,0
1955,36,10,94,0,0,0,0
1956,205,206,143,0,0,10,30
1957,69,0,82,46,0,0,15
1958,295,15,312,0,0,114,25
1959,119,0,11,0,0,0,5
1960,74,250,568,0,0,0,142
1961,135,327,0,0,0,120,94
1962,336,91,15,0,0,0,21
1963,89,45,31,0,0,0,163
1964,206,231,208,0,0,79,8
1965,185,145,221,0,0,0,3
1966,64,181,23,0,0,0,3
1967,35,23,31,0,0,41,106
1968,175,10,196,0,0,0,33
1969,53,148,69,0,0,0,258
1970,55,93,126,25,0,0,23
1971,10,37,5,165,0,33,0
1972,104,48,8,0,0,132,26
1973,57,77,5,5,0,0,669
1974,107,115,188,0,0,30,38
1975,104,307,161,0,0,193,99
1976,115,114,122,0,0,8,132
1977,607,170,3,3,0,170,298
1978,585,237,392,0,0,0,36
1979,467,122,52,0,0,8,0
1980,107,189,221,127,0,204,28
1981,15,208,5,0,0,0,201
1982,423,229,10,68,0,0,0
1983,83,8,35,61,0,0,165
1984,59,252,133,0,0,44,46
1985,130,33,0,0,0,0,145
1986,26,155,6,0,0,0,0
1987,599,15,0,0,0,0,187
1988,36,172,72,0,0,74,150
1989,3,99,279,0,0,0,232
1990,6,176,214,0,0,0,335
1991,50,0,43,0,0,99,10
1992,97,58,79,0,0,0,18
1993,140,529,77,8,0,40,28
1994,127,26,5,36,0,0,3
1995,89,41,13,0,0,23,201
1996,341,71,25,0,0,5,39
1997,333,21,0,107,0,66,105
1998,145,13,149,0,5,0,46
1999,306,39,13,0,0,0,9
2000,127,0,122,0,0,0,406
2001,18,41,0,10,0,5,0
2002,157,66,127,0,0,5,239
2003,189,323,3,0,0,0,84
2004,56,49,0,0,0,46,0
2005,196,80,3,0,0,0,97
2006,25,79,66,0,0,58,53
2007,95,120,10,0,0,0,198
2008,108,208,254,0,0,61,39
2009,179,3,46,3,0,0,86
2010,94,194,0,0,0,5,201
2011,374,164,191,0,0,0,51
2012,46,64,0,0,0,0,53
2013,24,270,363,0,0,0,142
2014,358,0,0,0,0,0,0
